indexName,documentTypeName,TR_DTM,EBNK_MED_DSC,COPR_DS,LANG_DS,E_FNC_USR_OS_DSC,E_FNC_LGIN_DSC,NBNK_C,RMS_SVC_C,E_FNC_USR_DVIC_INF_CNTN,E_FNC_USR_ACS_DSC,E_FNC_MED_SVCID,E_FNC_MED_SVRNM,E_FNC_RSP_C,EXE_YN,Amount,E_FNC_TR_ACNO_C,IO_EA_DD1_FTR_LMT3,IO_EA_TM1_FTR_LMT3,IO_EA_PW_CD_DS1,IO_EA_PW_CD_DS2,IO_EA_PW_CD_DS3,PRE_ASSIGN_YN,SMS_AUTHEN_YN,EXCEPT_REGIST,EXCEPTION_ADD_AUTHEN_YN,SMART_AUTHEN_YN,ATTC_DS,FTR_DS2,RV_AC_DGN_YN2,IO_EA_DPZ_PL_IMP_BAC,IO_EA_TOT_BAC6,IO_EA_RMT_FEE1,securityMediaType,workType,workGbn,FDS_IDEN,country,doaddress,isForeigner,isNewAccount,isNewDevice,pc_PubIpCntryCd,pc_isProxy,pc_PrxyCntryCd,pc_isVpn,pc_VpnCntryCd,pc_FORGERY_MAC_YN,pc_FORGERY_MAC_ETH0_YN,pc_FORGERY_MAC_ETH1_YN,pc_FORGERY_MAC_ETH2_YN,pc_FORGERY_MAC_ETH3_YN,pc_FORGERY_MAC_ETH4_YN,pc_FORGERY_MAC_ETH5_YN,pc_isWinDefender,pc_HdModel,pc_BwVsnCd,pc_isVm,pc_vmName,pc_SCAN_CNT_DETECT,pc_SCAN_CNT_CURED,pc_os,pc_OsLangCd,pc_OsRemoteYn,pc_OS_FIREWALL_CD,pc_REMOTE_YN,pc_RemoteProg,pc_RemotePORT,pc_remoteInfo1,pc_remoteInfo2,pc_remoteInfo3,pc_remoteInfo4,pc_remoteInfo5,pc_remoteInfo6,pc_remoteInfo7,pc_remoteInfo8,pc_isCertMisuse,processState,pc_foresicInfo,pc_isWinFirewall
nacf_2022.11.17,message,2022-11-17,91,,KO,1,1,,EAIPSIL0I0,PC,99,IPAR0023R,16.49-01,0,1,100000000,1,100000,10000,0,12,,1,0,0,0,,4,2,1,0,0,0,2,CERT,2,null,KR,11,0,1,0,null,N,,N,,N,N,N,N,N,N,N,null,Samsung SSD 860 EVO 250GB,10-011-000,N,,0,0,10-010-000-10,412,N,2,N,,,kakaotalk.exe,,,,,,,,5,N,1962,1
nacf_2022.11.17,message,2022-11-17,91,,KO,1,,,EAIPROGGR0,PC,99,IPCNA000R,16.50-05,0,,0,,100000,10000,0,12,,1,0,0,0,,4,2,1,0,0,0,2,CERT,2,null,KR,11,0,0,0,null,N,,N,,N,N,N,N,N,N,N,null,Samsung SSD 860 EVO 250GB,10-011-000,N,,0,0,10-010-000-10,412,N,2,N,,,kakaotalk.exe,,,,,,,,5,N,1962,1
nacf_2022.11.17,message,2022-11-17,91,,KO,1,,,EAIPROGGR0,PC,99,IPCNA000R,16.49-01,0,,0,,100000,10000,0,12,,1,0,0,0,,4,2,1,0,0,0,2,CERT,2,null,KR,11,0,0,0,null,N,,N,,N,N,N,N,N,N,N,null,Samsung SSD 860 EVO 250GB,10-011-000,N,,0,0,10-010-000-10,412,N,2,N,,,kakaotalk.exe,,,,,,,,5,N,1962,1
nacf_2022.11.17,message,2022-11-17,91,,KO,1,,,EAIPROGGR0,PC,99,IPCNA000R,16.49-01,0,,0,,100000,10000,0,12,,1,0,0,0,,4,2,1,0,0,0,2,CERT,2,null,KR,11,0,0,0,null,N,,N,,N,N,N,N,N,N,N,null,Samsung SSD 860 EVO 250GB,10-011-000,N,,0,0,10-010-000-10,412,N,2,N,,,kakaotalk.exe,,,,,,,,5,N,1962,1
nacf_2022.11.17,message,2022-11-17,91,,KO,1,1,N,EANBCI06I0,PC,5,NBCNAC,16.09-1,0,,0,N,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,2,N,0,,KR,11,0,0,1,,N,N,N,N,N,N,N,N,N,N,N,,HFS256GD9TNG-62A0A,30-097-000,N,N,0,0,10-010-000-10,412,N,2,N,N,,wechat.exe,N,N,N,N,N,N,N,2,N,0,0
nacf_2022.11.17,message,2022-11-17,91,,KO,1,1,N,EANBCI06I0,PC,5,NBCNAC,16.09-1,0,,0,N,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,2,N,0,,KR,11,0,0,1,,N,N,N,N,N,N,N,N,N,N,N,,HFS256GD9TNG-62A0A,30-097-000,N,N,0,0,10-010-000-10,412,N,2,N,N,,wechat.exe,N,N,N,N,N,N,N,2,N,0,0
nacf_2022.11.17,message,2022-11-17,91,,KO,1,0,N,EAIPROGGR0,PC,5,IPCNAR,16.09-1,0,,0,N,50000,10000,0,11,0,0,0,1,0,0,0,2,1,0,0,0,5,CERT,2,,KR,11,0,0,1,,N,N,N,N,N,N,N,N,N,N,N,,HFS256GD9TNG-62A0A,30-097-000,N,N,0,0,10-010-000-10,412,N,2,N,N,,wechat.exe,N,N,N,N,N,N,N,2,N,1969,1
nacf_2022.11.17,message,2022-11-17,91,,KO,1,0,N,EAIPROGGR0,PC,5,IPCNAR,16.09-1,0,,0,N,50000,10000,0,11,0,0,0,1,0,0,0,2,1,0,0,0,5,CERT,2,,KR,11,0,0,1,,N,N,N,N,N,N,N,N,N,N,N,,HFS256GD9TNG-62A0A,30-097-000,N,N,0,0,10-010-000-10,412,N,2,N,N,,wechat.exe,N,N,N,N,N,N,N,2,N,1969,1
nacf_2022.11.17,message,2022-11-17,91,,KO,1,0,N,EAIPROGGR0,PC,5,IPCNAR,16.09-1,0,,0,N,50000,10000,0,11,0,0,0,1,0,0,0,2,1,0,0,0,5,CERT,2,,KR,11,0,0,1,,N,N,N,N,N,N,N,N,N,N,N,,HFS256GD9TNG-62A0A,30-097-000,N,N,0,0,10-010-000-10,412,N,2,N,N,,wechat.exe,N,N,N,N,N,N,N,2,ACC,1969,1
nacf_2022.11.17,message,2022-11-17,91,,KO,1,0,N,EAIPROGGR0,PC,5,IPCNAR,16.09-1,0,,0,N,50000,10000,0,11,0,0,0,1,0,0,0,2,1,0,0,0,5,CERT,2,,KR,11,0,0,1,,N,N,N,N,N,N,N,N,N,N,N,,HFS256GD9TNG-62A0A,30-097-000,N,N,0,0,10-010-000-10,412,N,2,N,N,,wechat.exe,N,N,N,N,N,N,N,2,FRAUD,1969,1
